,value,min,max,dsc,sym,dev,timestamp
2,25.426772144417573,0,100,Hygrometer,%,BME680,1614596597.6665118
3,337.698,300000,1100000,VOC,KOhm,BME680,1614596597.6665118
0,28.7844921875,-40,85,Thermometer,°c,BME680,1614596658.6420777
1,990.494047812926,300,1100,Barometer,hPa,BME680,1614596658.6420777
2,25.425291439778917,0,100,Hygrometer,%,BME680,1614596658.6420777
3,339.677,300000,1100000,VOC,KOhm,BME680,1614596658.6420777
0,28.7626171875,-40,85,Thermometer,°c,BME680,1614596719.58023
1,990.5090687774758,300,1100,Barometer,hPa,BME680,1614596719.58023
2,25.451072179197666,0,100,Hygrometer,%,BME680,1614596719.58023
3,337.698,300000,1100000,VOC,KOhm,BME680,1614596719.58023
0,28.741328125,-40,85,Thermometer,°c,BME680,1614596780.460226
1,990.5091306891304,300,1100,Barometer,hPa,BME680,1614596780.460226
2,25.45494549944927,0,100,Hygrometer,%,BME680,1614596780.460226
3,339.345,300000,1100000,VOC,KOhm,BME680,1614596780.460226
0,28.7204296875,-40,85,Thermometer,°c,BME680,1614596841.3964536
1,990.5168605923794,300,1100,Barometer,hPa,BME680,1614596841.3964536
2,25.46982519570594,0,100,Hygrometer,%,BME680,1614596841.3964536
3,338.684,300000,1100000,VOC,KOhm,BME680,1614596841.3964536
0,28.6942578125,-40,85,Thermometer,°c,BME680,1614596902.3280795
1,990.5110082079988,300,1100,Barometer,hPa,BME680,1614596902.3280795
2,25.50077291726907,0,100,Hygrometer,%,BME680,1614596902.3280795
3,337.37,300000,1100000,VOC,KOhm,BME680,1614596902.3280795
0,28.6719921875,-40,85,Thermometer,°c,BME680,1614596963.2654464
1,990.5112926524905,300,1100,Barometer,hPa,BME680,1614596963.2654464
2,25.49908202094215,0,100,Hygrometer,%,BME680,1614596963.2654464
3,337.37,300000,1100000,VOC,KOhm,BME680,1614596963.2654464
0,28.6395703125,-40,85,Thermometer,°c,BME680,1614597024.149327
1,990.5097224739613,300,1100,Barometer,hPa,BME680,1614597024.149327
2,25.518577560221843,0,100,Hygrometer,%,BME680,1614597024.149327
3,338.684,300000,1100000,VOC,KOhm,BME680,1614597024.149327
0,28.6165234375,-40,85,Thermometer,°c,BME680,1614597085.0802183
1,990.5264109739489,300,1100,Barometer,hPa,BME680,1614597085.0802183
2,25.544276716311046,0,100,Hygrometer,%,BME680,1614597085.0802183
3,337.37,300000,1100000,VOC,KOhm,BME680,1614597085.0802183
0,28.595625,-40,85,Thermometer,°c,BME680,1614597146.2292068
1,990.5429456659208,300,1100,Barometer,hPa,BME680,1614597146.2292068
2,25.52072910802179,0,100,Hygrometer,%,BME680,1614597146.2292068
3,338.355,300000,1100000,VOC,KOhm,BME680,1614597146.2292068
0,28.5727734375,-40,85,Thermometer,°c,BME680,1614597207.080236
1,990.5599343730788,300,1100,Barometer,hPa,BME680,1614597207.080236
2,25.53546176837692,0,100,Hygrometer,%,BME680,1614597207.080236
3,334.129,300000,1100000,VOC,KOhm,BME680,1614597207.080236
0,28.5544140625,-40,85,Thermometer,°c,BME680,1614597268.008384
1,990.5540007272668,300,1100,Barometer,hPa,BME680,1614597268.008384
2,25.528577759244676,0,100,Hygrometer,%,BME680,1614597268.008384
3,335.742,300000,1100000,VOC,KOhm,BME680,1614597268.008384
0,28.5321484375,-40,85,Thermometer,°c,BME680,1614597328.974592
1,990.5666143793719,300,1100,Barometer,hPa,BME680,1614597328.974592
2,25.515909639906276,0,100,Hygrometer,%,BME680,1614597328.974592
3,336.066,300000,1100000,VOC,KOhm,BME680,1614597328.974592
0,28.5165234375,-40,85,Thermometer,°c,BME680,1614597389.9345975
1,990.5808474424633,300,1100,Barometer,hPa,BME680,1614597389.9345975
2,25.50374778389751,0,100,Hygrometer,%,BME680,1614597389.9345975
3,333.488,300000,1100000,VOC,KOhm,BME680,1614597389.9345975
0,28.4969921875,-40,85,Thermometer,°c,BME680,1614597450.8720202
1,990.5942277488169,300,1100,Barometer,hPa,BME680,1614597450.8720202
2,25.562642150031007,0,100,Hygrometer,%,BME680,1614597450.8720202
3,336.391,300000,1100000,VOC,KOhm,BME680,1614597450.8720202
0,28.48703125,-40,85,Thermometer,°c,BME680,1614597511.8302553
1,990.6085451300827,300,1100,Barometer,hPa,BME680,1614597511.8302553
2,25.53443888028527,0,100,Hygrometer,%,BME680,1614597511.8302553
3,335.095,300000,1100000,VOC,KOhm,BME680,1614597511.8302553
0,28.471015625,-40,85,Thermometer,°c,BME680,1614597572.774592
1,990.6168688692316,300,1100,Barometer,hPa,BME680,1614597572.774592
2,25.588118825491318,0,100,Hygrometer,%,BME680,1614597572.774592
3,334.129,300000,1100000,VOC,KOhm,BME680,1614597572.774592
0,28.4536328125,-40,85,Thermometer,°c,BME680,1614597633.6704721
1,990.6353845009165,300,1100,Barometer,hPa,BME680,1614597633.6704721
2,25.592287480508528,0,100,Hygrometer,%,BME680,1614597633.6704721
3,334.45,300000,1100000,VOC,KOhm,BME680,1614597633.6704721
0,28.4356640625,-40,85,Thermometer,°c,BME680,1614597694.5802233
1,990.656502975899,300,1100,Barometer,hPa,BME680,1614597694.5802233
2,25.59641152920562,0,100,Hygrometer,%,BME680,1614597694.5802233
3,336.066,300000,1100000,VOC,KOhm,BME680,1614597694.5802233
0,28.420234375,-40,85,Thermometer,°c,BME680,1614597755.5177095
1,990.6780849890538,300,1100,Barometer,hPa,BME680,1614597755.5177095
